"","season","team_name","division","conference","record","win_perc","team_id","coach_id"
"11934","2004","Bellarmine","D-II","GLVC","15-27-1","0.357","52",1624
"11935","2004","Central Mo.","D-II","Mid-America Intercollegiate","37-19-0","0.661","130",33
"11936","2004","Elmira","D-III","Empire 8","14-10-0","0.583","213",387
"11937","2004","Nebraska","D-I","Big 12","45-17-0","0.726","463",301
"11938","2004","Schreiner","D-III","ASC","9-17-0","0.346","1355",2206
"11939","2004","Texas St.","D-I","Southland","37-20-0","0.649","670",1869
"11940","2004","Drake","D-I","MVC","30-24-0","0.556","189",2031
"11941","2004","Framingham St.","D-III","MASCAC","15-21-0","0.417","238",2041
"11942","2004","Franklin Pierce","D-II","NE10","10-26-1","0.278","241",2043
"11943","2004","Delaware Valley","D-III","MAC Freedom","8-25-0","0.242","179",2133
"11944","2004","Henderson St.","D-II","Gulf South","34-13-0","0.723","1123",2148
"11945","2004","California (PA)","D-II","PSAC","29-13-0","0.690","106",730
"11946","2004","Sul Ross St.","D-III","ASC","9-27-0","0.250","1390",1865
"11947","2004","Dominican (NY)","D-II","CACC","16-27-0","0.372","8956",1916
"11948","2004","Pacific Lutheran","D-III","NWC","28-10-0","0.737","1297",1053
"11949","2004","Hardin-Simmons","D-III","ASC","10-27-1","0.270","271",2146
"11950","2004","Ohio","D-I","MAC","20-31-0","0.392","519",1297
"11951","2004","Ky. Wesleyan","D-II","GLVC","4-36-0","0.100","333",2055
"11952","2004","Albany St. (GA)","D-II","SIAC","24-39-1","0.381","13",1892
"11953","2004","La Verne","D-III","SCIAC","27-14-0","0.659","341",2157
"11954","2004","Puget Sound","D-III","NWC","15-21-0","0.417","557",266
"11955","2004","Penn St.","D-I","Big Ten","25-33-0","0.431","539",1299
