"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"4548",464,11837,2022,"Sierra Leonetti",16,2,0,0,0,0,2,1,0,5,0,0,"0.125",0.176,"0.301"
"4549",316,4763,2022,"Tatianna Davis",43,5,0,0,0,1,7,4,0,16,5,0,"0.116",0.184,"0.300"
"4550",706,13520,2022,"Taylor Medina",4,0,0,0,0,3,1,1,2,3,0,0,"0.000",0.3,"0.300"
"4551",37,12527,2022,"Maddie Majors",12,1,0,0,0,1,1,1,1,5,1,0,"0.083",0.214,"0.297"
"4552",94,16558,2022,"Lauren Randle",46,6,0,0,0,4,2,0,2,15,0,0,"0.130",0.167,"0.297"
"4553",1068,808,2022,"Bella Backer",13,1,1,0,0,0,2,1,0,4,0,0,"0.077",0.143,"0.297"
"4554",251,18214,2022,"Gianna Sciullo",19,2,0,0,0,1,9,1,1,7,1,0,"0.105",0.19,"0.295"
"4555",312,14323,2022,"Rylie Moss",19,2,0,0,0,1,10,1,1,5,5,3,"0.105",0.19,"0.295"
"4556",386,9556,2022,"Ronni Howard",33,4,1,0,0,0,6,1,0,11,3,2,"0.121",0.143,"0.295"
"4557",299,10071,2022,"Chloe Jefferson",59,7,0,0,0,4,1,3,1,17,0,0,"0.119",0.175,"0.294"
"4558",485,7687,2022,"Gabby Gosman",30,3,0,0,0,1,4,3,1,9,1,0,"0.100",0.194,"0.294"
"4559",184,22138,2022,"Kara Wolfbauer",14,1,0,0,0,0,4,3,0,3,0,0,"0.071",0.222,"0.293"
"4560",371,4463,2022,"Jocelyn Currie",69,6,2,0,0,4,1,7,1,20,1,0,"0.087",0.177,"0.293"
"4561",299,2722,2022,"Madi Bylak",16,2,0,0,0,2,9,1,0,3,0,1,"0.125",0.167,"0.292"
"4562",432,20007,2022,"Laeni Terrones",40,4,1,0,0,4,0,2,2,8,2,2,"0.100",0.167,"0.292"
"4563",504,10674,2022,"Hannah Kelley",16,2,0,0,0,1,0,1,0,2,0,0,"0.125",0.167,"0.292"
"4564",482,19761,2022,"Jaden Swiatek",11,1,0,0,0,1,0,2,0,3,0,0,"0.091",0.2,"0.291"
"4565",576,7067,2022,"Kristyn Gardner",29,3,0,0,0,2,2,3,0,7,0,1,"0.103",0.188,"0.291"
"4566",464,18292,2022,"Alexa Sedlak",30,2,0,0,0,5,5,6,0,8,0,0,"0.067",0.222,"0.289"
"4567",202,17799,2022,"Bella Sanchez",40,4,1,0,0,0,2,1,2,19,0,0,"0.100",0.163,"0.288"
