"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"10886","4499081","Ga. Southern","Purdue Fort Wayne",54794,"Anslie Pettit",3,3,0,0,0,4,12,0,1,4
"10887","4501089","Northland","Neb. Wesleyan",75910,"Ariana Wilson",3,10,7,0,1,0,21,0,4,5
"10888","4499055","Le Moyne","Brown",21098,"Arianna Exarchakis",3,4,7,6,0,1,18,1,3,4
"10889","4499523","Le Moyne","Middle Tenn.",21098,"Arianna Exarchakis",3,7,5,4,0,2,20,1,2,5
"10890","4503371","Occidental","Monmouth (IL)",39691,"Ariel Lashinsky",3,5,5,0,1,1,16,0,6,2
"10891","4502123","Grand Canyon","Princeton",69750,"Ariel Thompson",3,3,1,0,0,0,11,0,4,4
"10892","4503472","Grand Canyon","Seattle U",69750,"Ariel Thompson",3,1,1,0,1,3,10,1,3,2
"10893","4499403","A&M-Corpus Christi","UT Martin",61206,"Ariella Saenz",3,4,0,0,0,2,13,0,4,2
"10894","4501064","Mary","Thomas More",34957,"Arria Johnson",3,3,0,0,0,2,12,0,4,3
"10895","4504511","Colby","Thomas (ME)",14302,"Ashley Correll",3,2,1,2,0,5,13,0,1,3
"10896","4502859","Rhode Island","Tennessee Tech",31212,"Ashley Hibbard",3,7,3,0,0,1,16,1,4,4
