"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"194","1898757","Washington","Oregon",1184,"Taran Alvelo",9,5,2,4,0,12,36,1,5,9
"195","1898643","Fla. Atlantic","Middle Tenn.",8073,"Tatum Buckley",9,10,2,4,2,4,44,0,5,18
"196","1897659","Fla. Atlantic","FGCU",8073,"Tatum Buckley",9,10,2,1,0,1,38,2,6,18
"197","1899318","Harvard","Yale",8929,"Taylor Cabe",9,8,4,4,2,4,40,0,11,10
"198","1889654","FGCU","Canisius",67290,"Taylor Wade",9,8,1,1,0,3,33,0,15,5
"199","1886364","Alabama St.","Loyola Chicago",6736,"Vanessa Bradford",9,8,1,4,1,4,40,0,9,14
"200","1893314","Jacksonville St.","Ole Miss",23564,"Whitney Gillespie",9,5,2,4,0,7,36,0,14,5
"201","1885933","Eastern Ky.","Ga. Southern",56571,"Alex Sallberg",9.2,7,1,2,0,6,37,0,17,3
"202","1886215","Tennessee Tech","Abilene Christian",37724,"Danielle Liberatore",9.2,7,3,4,0,12,35,1,5,7
"203","1891582","Princeton","Saint Mary's (CA)",47208,"Erica Nori",9.2,9,1,3,0,4,37,0,9,10
"204","1885165","Campbell","Penn St.",7452,"Holly Brooks",9.2,9,4,4,1,5,40,1,13,8
"205","1904218","Florida St.","Oregon",8612,"Jessica Burroughs",9.2,4,2,0,0,8,30,0,9,9
"206","1904217","Ole Miss","Missouri",37075,"Kaitlin Lee",9.2,6,2,1,2,8,38,1,8,10
"207","1894008","Western Ky.","UAB",17302,"Kathryn Downing",9.2,5,1,3,0,8,33,1,3,14
"208","1904200","Indiana St.","Bradley",31131,"Kenzie Ihle",9.2,11,4,1,1,5,38,1,6,14
"209","1896270","App State","ULM",38426,"Kenzie Longanecker",9.2,6,1,1,0,4,33,0,11,11
"210","1890867","Ga. Southern","ULM",9288,"Kierra Camp",9.2,7,0,1,1,1,35,0,15,9
"211","1896018","Southern Miss.","North Texas",13989,"Kim Crowson",9.2,4,1,1,0,6,32,2,16,3
"212","1892135","Tennessee St.","SIUE",70602,"Lauren Woodard",9.2,5,1,0,0,0,30,0,11,14
"213","1883658","Cal Poly","UCF",10756,"Lindsey Chalmers",9.2,3,0,6,0,9,36,0,10,7
